AccerlerometerX,AccerlerometerY,AccerlerometerZ,UtcTicks
-0.2365,-0.9600,-0.1501,635740559690811076
-0.2365,-0.9600,-0.1501,635740559691015070
-0.2365,-0.9600,-0.1501,635740559691209255
-0.2365,-0.9600,-0.1501,635740559691413251
-0.2365,-0.9600,-0.1501,635740559691605174
-0.2365,-0.9600,-0.1501,635740559691805202
-0.2365,-0.9600,-0.1501,635740559692009789
-0.2365,-0.9600,-0.1501,635740559692214856
-0.2365,-0.9600,-0.1501,635740559692409023
-0.2365,-0.9600,-0.1501,635740559692609328
-0.2365,-0.9600,-0.1501,635740559692813608
-0.2365,-0.9600,-0.1501,635740559693007779
-0.2365,-0.9600,-0.1501,635740559693211880
-0.2365,-0.9600,-0.1501,635740559693416146
-0.2365,-0.9600,-0.1501,635740559693610412
-0.2365,-0.9600,-0.1501,635740559693814991
-0.2365,-0.9600,-0.1501,635740559694009016
-0.2365,-0.9600,-0.1501,635740559694213042
-0.2365,-0.9600,-0.1501,635740559694407102
-0.2365,-0.9600,-0.1501,635740559694611244
-0.2365,-0.9600,-0.1501,635740559694815340
-0.2365,-0.9600,-0.1501,635740559695009411
-0.2365,-0.9600,-0.1501,635740559695213412
-0.2365,-0.9600,-0.1501,635740559695409231
-0.2365,-0.9600,-0.1501,635740559695613322
-0.2365,-0.9600,-0.1501,635740559695807385
-0.2365,-0.9600,-0.1501,635740559696011446
-0.2365,-0.9600,-0.1501,635740559696215585
-0.2365,-0.9600,-0.1501,635740559696409806
-0.2365,-0.9600,-0.1501,635740559696614213
-0.2365,-0.9600,-0.1501,635740559696808220
-0.2365,-0.9600,-0.1501,635740559697015732
-0.2365,-0.9600,-0.1501,635740559697209985
-0.2365,-0.9600,-0.1501,635740559697414309
-0.2365,-0.9600,-0.1501,635740559697608442
-0.2365,-0.9600,-0.1501,635740559697812696
-0.2365,-0.9600,-0.1501,635740559698008674
-0.2365,-0.9600,-0.1501,635740559698212302
-0.2365,-0.9600,-0.1501,635740559698416377
-0.2365,-0.9600,-0.1501,635740559698610640
-0.2365,-0.9600,-0.1501,635740559698814718
-0.2365,-0.9600,-0.1501,635740559699008884
-0.2365,-0.9600,-0.1501,635740559699212997
-0.2365,-0.9600,-0.1501,635740559699407168
-0.2365,-0.9600,-0.1501,635740559699611426
-0.2365,-0.9600,-0.1501,635740559699817180
-0.2365,-0.9600,-0.1501,635740559700011463
-0.2365,-0.9600,-0.1501,635740559700215716
-0.2365,-0.9600,-0.1501,635740559700409993
-0.2365,-0.9600,-0.1501,635740559700614250
-0.2365,-0.9600,-0.1501,635740559700808932
-0.2365,-0.9600,-0.1501,635740559701013178
-0.2365,-0.9600,-0.1501,635740559701207432
-0.2365,-0.9600,-0.1501,635740559701411692
-0.2365,-0.9600,-0.1501,635740559701615859
-0.2365,-0.9600,-0.1501,635740559701810009
-0.2365,-0.9600,-0.1501,635740559702014283
-0.2365,-0.9600,-0.1501,635740559702207025
-0.2365,-0.9600,-0.1501,635740559702411297
-0.2365,-0.9600,-0.1501,635740559702615572
-0.2365,-0.9600,-0.1501,635740559702809824
-0.2365,-0.9600,-0.1501,635740559703014158
-0.2365,-0.9600,-0.1501,635740559703211728
-0.2365,-0.9600,-0.1501,635740559703416127
-0.2365,-0.9600,-0.1501,635740559703610480
-0.2365,-0.9600,-0.1501,635740559703814581
-0.2365,-0.9600,-0.1501,635740559704008771
-0.2365,-0.9600,-0.1501,635740559704216037
-0.2365,-0.9600,-0.1501,635740559704410047
-0.2365,-0.9600,-0.1501,635740559704614163
-0.2365,-0.9600,-0.1501,635740559704808433
-0.2365,-0.9600,-0.1501,635740559705012698
-0.2365,-0.9600,-0.1501,635740559705207274
-0.2365,-0.9600,-0.1501,635740559705410115
-0.2365,-0.9600,-0.1501,635740559705614392
-0.2365,-0.9600,-0.1501,635740559705808667
-0.2365,-0.9600,-0.1501,635740559706012856
-0.2365,-0.9600,-0.1501,635740559706207113
-0.2365,-0.9600,-0.1501,635740559706411384
-0.2365,-0.9600,-0.1501,635740559706615539
-0.2365,-0.9600,-0.1501,635740559706809719
-0.2365,-0.9600,-0.1501,635740559707013848
-0.2365,-0.9600,-0.1501,635740559707207871
-0.2365,-0.9600,-0.1501,635740559707412545
-0.2365,-0.9600,-0.1501,635740559707615437
-0.2365,-0.9600,-0.1501,635740559707809714
-0.2365,-0.9600,-0.1501,635740559708014162
-0.2365,-0.9600,-0.1501,635740559708208415
-0.2365,-0.9600,-0.1501,635740559708412543
-0.2365,-0.9600,-0.1501,635740559708616658
-0.2365,-0.9600,-0.1501,635740559708811262
-0.2365,-0.9600,-0.1501,635740559709015495
-0.2365,-0.9600,-0.1501,635740559709215128
-0.2365,-0.9600,-0.1501,635740559709409802
-0.2365,-0.9600,-0.1501,635740559709614107
-0.2365,-0.9600,-0.1501,635740559709808373
-0.2365,-0.9600,-0.1501,635740559710012633
-0.2365,-0.9600,-0.1501,635740559710206905
-0.2365,-0.9600,-0.1501,635740559710410909
-0.2365,-0.9600,-0.1501,635740559710615202
-0.2365,-0.9600,-0.1501,635740559710809477
-0.2365,-0.9600,-0.1501,635740559711013734
-0.2365,-0.9600,-0.1501,635740559711207996
-0.2365,-0.9600,-0.1501,635740559711412268
-0.2365,-0.9600,-0.1501,635740559711618290
-0.2533,-0.9613,-0.1086,635740559711812483
-0.2533,-0.9613,-0.1086,635740559712002981
-0.2533,-0.9613,-0.1086,635740559712206832
-0.2533,-0.9613,-0.1086,635740559712407821
-0.2533,-0.9613,-0.1086,635740559712612092
-0.2533,-0.9613,-0.1086,635740559712816348
-0.2533,-0.9613,-0.1086,635740559713010615
-0.2533,-0.9613,-0.1086,635740559713213003
-0.2533,-0.9613,-0.1086,635740559713407190
-0.2532,-0.9603,-0.1169,635740559713611599
-0.2451,-0.9624,-0.1170,635740559713816267
-0.2451,-0.9624,-0.1170,635740559714010604
-0.2287,-0.9664,-0.1171,635740559714215580
-0.2206,-0.9683,-0.1172,635740559714430713
-0.2206,-0.9683,-0.1172,635740559714615452
-0.2042,-0.9719,-0.1174,635740559714808482
-0.2042,-0.9719,-0.1174,635740559715012680
-0.2042,-0.9719,-0.1174,635740559715216801
-0.1796,-0.9786,-0.1009,635740559715410999
-0.1796,-0.9786,-0.1009,635740559715615147
-0.1548,-0.9843,-0.0844,635740559715809294
-0.1299,-0.9886,-0.0761,635740559716011746
-0.1299,-0.9886,-0.0761,635740559716215930
-0.1216,-0.9913,-0.0510,635740559716410031
-0.1049,-0.9932,-0.0511,635740559716614105
-0.1049,-0.9932,-0.0511,635740559716808118
-0.1049,-0.9932,-0.0511,635740559717012198
-0.0966,-0.9950,-0.0259,635740559717221802
-0.0966,-0.9950,-0.0259,635740559717415999
-0.0547,-0.9984,0.0161,635740559717615978
-0.0547,-0.9984,0.0161,635740559717810133
-0.0546,-0.9982,0.0245,635740559718014320
-0.0546,-0.9982,0.0245,635740559718208538
-0.0546,-0.9982,0.0245,635740559718412671
-0.0546,-0.9982,0.0245,635740559718616756
-0.0546,-0.9982,0.0245,635740559718813256
-0.0546,-0.9982,0.0245,635740559719007963
-0.0462,-0.9981,0.0413,635740559719217677
-0.0294,-0.9983,0.0497,635740559719425495
-0.0294,-0.9983,0.0497,635740559719609611
-0.0294,-0.9983,0.0497,635740559719813819
-0.0294,-0.9983,0.0497,635740559720007961
-0.0294,-0.9983,0.0497,635740559720212109
-0.0294,-0.9983,0.0497,635740559720420110
-0.0294,-0.9983,0.0497,635740559720614361
-0.0294,-0.9983,0.0497,635740559720808620
-0.0210,-0.9985,0.0498,635740559721012997
-0.0210,-0.9985,0.0498,635740559721207091
0.0462,-0.9967,0.0665,635740559721411269
0.0798,-0.9940,0.0749,635740559721615821
0.0798,-0.9940,0.0749,635740559721810085
0.1048,-0.9903,0.0915,635740559722014363
0.1048,-0.9903,0.0915,635740559722204372
0.1048,-0.9903,0.0915,635740559722408612
0.1215,-0.9884,0.0915,635740559722612873
0.1215,-0.9884,0.0915,635740559722807176
0.1215,-0.9884,0.0915,635740559723011434
0.1215,-0.9884,0.0915,635740559723212779
0.1215,-0.9884,0.0915,635740559723405797
0.1712,-0.9784,0.1162,635740559723610000
0.2041,-0.9710,0.1243,635740559723814366
0.2041,-0.9710,0.1243,635740559724008627
0.2041,-0.9710,0.1243,635740559724213130
0.2041,-0.9710,0.1243,635740559724407264
0.2041,-0.9710,0.1243,635740559724611515
0.2203,-0.9640,0.1489,635740559724811867
0.2203,-0.9640,0.1489,635740559725016045
0.2284,-0.9621,0.1488,635740559725215812
0.2282,-0.9595,0.1653,635740559725410380
0.2282,-0.9595,0.1653,635740559725614635
0.2279,-0.9550,0.1899,635740559725805679
0.2277,-0.9534,0.1981,635740559726009947
0.2277,-0.9534,0.1981,635740559726213446
0.2196,-0.9552,0.1982,635740559726407735
0.2193,-0.9518,0.2145,635740559726612200
0.2193,-0.9518,0.2145,635740559726802273
0.2193,-0.9518,0.2145,635740559727006390
0.1949,-0.9570,0.2149,635740559727210497
0.1949,-0.9570,0.2149,635740559727414851
0.1209,-0.9741,0.1911,635740559727614812
0.1209,-0.9741,0.1911,635740559727808952
0.0711,-0.9848,0.1583,635740559728013212
0.0461,-0.9888,0.1418,635740559728204831
0.0461,-0.9888,0.1418,635740559728409090
-0.0126,-0.9931,0.1168,635740559728617600
-0.0126,-0.9940,0.1084,635740559728811644
-0.0126,-0.9940,0.1084,635740559729015928
-0.0294,-0.9954,0.0917,635740559729210104
-0.0378,-0.9958,0.0833,635740559729416535
-0.0378,-0.9958,0.0833,635740559729610674
